global_idx,state_id,location,timestamp_utc,npz_path
0,athens_gr_20251011T092003Z_s2c_msil2a_20251011t090931_n0511,athens_gr,2025-10-11T09:20:03.333000+00:00,cloud_state_dataset\states_npz\athens_gr_20251011T092003Z_s2c_msil2a_20251011t090931_n0511.npz
1,athens_gr_20251011T092004Z_s2c_msil2a_20251011t090931_n0511,athens_gr,2025-10-11T09:20:04.357000+00:00,cloud_state_dataset\states_npz\athens_gr_20251011T092004Z_s2c_msil2a_20251011t090931_n0511.npz
2,athens_gr_20251013T092004Z_s2a_msil2a_20251013t091041_n0511,athens_gr,2025-10-13T09:20:04.505000+00:00,cloud_state_dataset\states_npz\athens_gr_20251013T092004Z_s2a_msil2a_20251013t091041_n0511.npz
3,athens_gr_20251013T092005Z_s2a_msil2a_20251013t091041_n0511,athens_gr,2025-10-13T09:20:05.524000+00:00,cloud_state_dataset\states_npz\athens_gr_20251013T092005Z_s2a_msil2a_20251013t091041_n0511.npz
4,athens_gr_20251016T091950Z_s2b_msil2a_20251016t090859_n0511,athens_gr,2025-10-16T09:19:50.162000+00:00,cloud_state_dataset\states_npz\athens_gr_20251016T091950Z_s2b_msil2a_20251016t090859_n0511.npz
5,athens_gr_20251016T091951Z_s2b_msil2a_20251016t090859_n0511,athens_gr,2025-10-16T09:19:51.182000+00:00,cloud_state_dataset\states_npz\athens_gr_20251016T091951Z_s2b_msil2a_20251016t090859_n0511.npz
6,athens_gr_20251021T092006Z_s2c_msil2a_20251021t091031_n0511,athens_gr,2025-10-21T09:20:06.621000+00:00,cloud_state_dataset\states_npz\athens_gr_20251021T092006Z_s2c_msil2a_20251021t091031_n0511.npz
7,athens_gr_20251021T092007Z_s2c_msil2a_20251021t091031_n0511,athens_gr,2025-10-21T09:20:07.244000+00:00,cloud_state_dataset\states_npz\athens_gr_20251021T092007Z_s2c_msil2a_20251021t091031_n0511.npz
8,athens_gr_20251023T092006Z_s2a_msil2a_20251023t091331_n0511,athens_gr,2025-10-23T09:20:06.023000+00:00,cloud_state_dataset\states_npz\athens_gr_20251023T092006Z_s2a_msil2a_20251023t091331_n0511.npz
9,athens_gr_20251023T092007Z_s2a_msil2a_20251023t091331_n0511,athens_gr,2025-10-23T09:20:07.042000+00:00,cloud_state_dataset\states_npz\athens_gr_20251023T092007Z_s2a_msil2a_20251023t091331_n0511.npz
10,athens_gr_20251026T091949Z_s2b_msil2a_20251026t090959_n0511,athens_gr,2025-10-26T09:19:49.855000+00:00,cloud_state_dataset\states_npz\athens_gr_20251026T091949Z_s2b_msil2a_20251026t090959_n0511.npz
11,athens_gr_20251026T091950Z_s2b_msil2a_20251026t090959_n0511,athens_gr,2025-10-26T09:19:50.874000+00:00,cloud_state_dataset\states_npz\athens_gr_20251026T091950Z_s2b_msil2a_20251026t090959_n0511.npz
12,athens_gr_20251031T092003Z_s2c_msil2a_20251031t091121_n0511,athens_gr,2025-10-31T09:20:03.342000+00:00,cloud_state_dataset\states_npz\athens_gr_20251031T092003Z_s2c_msil2a_20251031t091121_n0511.npz
13,athens_gr_20251031T092004Z_s2c_msil2a_20251031t091121_n0511,athens_gr,2025-10-31T09:20:04.369000+00:00,cloud_state_dataset\states_npz\athens_gr_20251031T092004Z_s2c_msil2a_20251031t091121_n0511.npz
14,athens_gr_20251102T092006Z_s2a_msil2a_20251102t091151_n0511,athens_gr,2025-11-02T09:20:06.952000+00:00,cloud_state_dataset\states_npz\athens_gr_20251102T092006Z_s2a_msil2a_20251102t091151_n0511.npz
15,athens_gr_20251102T092007Z_s2a_msil2a_20251102t091151_n0511,athens_gr,2025-11-02T09:20:07.971000+00:00,cloud_state_dataset\states_npz\athens_gr_20251102T092007Z_s2a_msil2a_20251102t091151_n0511.npz
16,athens_gr_20251105T091946Z_s2b_msil2a_20251105t091049_n0511,athens_gr,2025-11-05T09:19:46.309000+00:00,cloud_state_dataset\states_npz\athens_gr_20251105T091946Z_s2b_msil2a_20251105t091049_n0511.npz
17,athens_gr_20251105T091947Z_s2b_msil2a_20251105t091049_n0511,athens_gr,2025-11-05T09:19:47.318000+00:00,cloud_state_dataset\states_npz\athens_gr_20251105T091947Z_s2b_msil2a_20251105t091049_n0511.npz
18,athens_gr_20251110T092001Z_s2c_msil2a_20251110t091231_n0511,athens_gr,2025-11-10T09:20:01.241000+00:00,cloud_state_dataset\states_npz\athens_gr_20251110T092001Z_s2c_msil2a_20251110t091231_n0511.npz
19,athens_gr_20251110T092002Z_s2c_msil2a_20251110t091231_n0511,athens_gr,2025-11-10T09:20:02.268000+00:00,cloud_state_dataset\states_npz\athens_gr_20251110T092002Z_s2c_msil2a_20251110t091231_n0511.npz
20,athens_gr_20251112T092004Z_s2a_msil2a_20251112t091321_n0511,athens_gr,2025-11-12T09:20:04.601000+00:00,cloud_state_dataset\states_npz\athens_gr_20251112T092004Z_s2a_msil2a_20251112t091321_n0511.npz
